Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.453,..,..,..,..
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.574,..,..,..,..
"Bahamas, The",BHS,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.716,..,..,..,..
Bahrain,BHR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.006,..,..,..,..
Bahrain,BHR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.474,..,..,..,..
Bahrain,BHR,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.373,..,..,..,..
Bahrain,BHR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.185,..,..,..,..
Bahrain,BHR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.653,..,..,..,..
Bahrain,BHR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.688,..,..,..,..
Bangladesh,BGD,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,1.143,..,..,..,..
Bangladesh,BGD,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.559,..,..,..,..
Bangladesh,BGD,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,0.227,..,..,..,..
Bangladesh,BGD,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,0.118,..,..,..,..
Bangladesh,BGD,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,0.359,..,..,..,..
Bangladesh,BGD,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,0.477,..,..,..,..
Barbados,BRB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,..,..,..,..,..
Barbados,BRB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,..,..,..,..,..
Barbados,BRB,Food Prices for Nutrition 2.0,FPN 2.0,"Cost of legumes, nuts and seeds",CoHD_lns,..,..,..,..,..
Barbados,BRB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of oils and fats,CoHD_of,..,..,..,..,..
Barbados,BRB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of starchy staples,CoHD_ss,..,..,..,..,..
Barbados,BRB,Food Prices for Nutrition 2.0,FPN 2.0,Cost of vegetables,CoHD_v,..,..,..,..,..
Belarus,BLR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of animal-source foods,CoHD_asf,0.826,..,..,..,..
Belarus,BLR,Food Prices for Nutrition 2.0,FPN 2.0,Cost of fruits,CoHD_f,0.678,..,..,..,..
